20221029	20:34:46	c3dc3f1e-2b14-4013-9784-4e21399204e8	Error: Not allowed by CORS	POST	/auth	chrome-extension://fhbjgbiflinjbdggehcddcbncdddomop
20221030	05:44:16	cc47cfa1-dcae-40d1-939c-45e28c75c660	Error: Cannot set headers after they are sent to the client	GET	/books	http://localhost:3000
20221030	05:44:23	1a38a71a-3f77-4e27-86e4-4751750e80f9	Error: Cannot set headers after they are sent to the client	GET	/books	http://localhost:3000
20221030	05:44:38	ea970eb0-7fbd-4dce-9687-9b27792dd28f	Error: Cannot set headers after they are sent to the client	GET	/books	http://localhost:3000
20221030	05:44:54	80b5d8dc-b1d0-41d3-8f54-46da3ee6a76e	Error: Cannot set headers after they are sent to the client	GET	/books	http://localhost:3000
20221030	05:45:09	c7a12dde-dba3-4abc-ac00-358017fc94b7	Error: Cannot set headers after they are sent to the client	GET	/books	http://localhost:3000
20221030	05:45:25	bd8d1182-cc05-41af-ad1c-c9dcc4bf151f	Error: Cannot set headers after they are sent to the client	GET	/books	http://localhost:3000
20221030	05:58:04	637784d0-0c37-43dc-960b-c04dd1d66e61	Error: Cannot set headers after they are sent to the client	GET	/books	http://localhost:3000
20221030	05:58:20	1fd2f6d5-4363-4eaf-97e9-20524a6545f9	Error: Cannot set headers after they are sent to the client	GET	/books	http://localhost:3000
20221030	05:58:35	88be44f8-ecf8-4139-82bc-bfc391c02fcb	Error: Cannot set headers after they are sent to the client	GET	/books	http://localhost:3000
20221030	05:58:50	0b0548aa-9afb-40b4-ac83-e7faac947f4b	Error: Cannot set headers after they are sent to the client	GET	/books	http://localhost:3000
20221030	05:59:05	a30356de-dfed-4003-ab96-ec4daca305c7	Error: Cannot set headers after they are sent to the client	GET	/books	http://localhost:3000
20221030	05:59:21	e15b9370-a558-4198-9d0b-58fbaa62e24a	Error: Cannot set headers after they are sent to the client	GET	/books	http://localhost:3000
20221030	05:59:36	e8fc9382-068d-4e16-b9c4-e930b3b469bf	Error: Cannot set headers after they are sent to the client	GET	/books	http://localhost:3000
20221030	05:59:51	5b6b7f4c-fae1-442f-bb1c-77934dc60dd6	Error: Cannot set headers after they are sent to the client	GET	/books	http://localhost:3000
20221030	06:00:07	45637be4-dfbf-4003-a859-5a378fa6b60a	Error: Cannot set headers after they are sent to the client	GET	/books	http://localhost:3000
20221030	06:00:22	58d31a4b-ae7f-4996-897a-12f10f493448	Error: Cannot set headers after they are sent to the client	GET	/books	http://localhost:3000
20221030	06:00:37	62fd8f76-94dc-416b-82bc-d5ca7b58068a	Error: Cannot set headers after they are sent to the client	GET	/books	http://localhost:3000
20221030	06:00:49	df509571-5196-41af-a80a-d53744388650	Error: Cannot set headers after they are sent to the client	GET	/books	http://localhost:3000
20221030	06:00:55	d96c32f8-8aac-4869-aab3-52d0beb50ffb	Error: Cannot set headers after they are sent to the client	GET	/books	http://localhost:3000
20221030	06:54:18	3b788c87-1e87-4da6-9501-1312e6d201a9	Error: Cannot set headers after they are sent to the client	GET	/books	http://localhost:3000
20221030	06:54:34	dbabfca0-df24-40bb-b1de-8b522d0aacca	Error: Cannot set headers after they are sent to the client	GET	/books	http://localhost:3000
20221030	06:54:50	570f5994-1edd-4d09-9e33-fd8699e3b993	Error: Cannot set headers after they are sent to the client	GET	/books	http://localhost:3000
20221030	10:13:25	96de768d-80b6-430c-931f-d6111db11485	CastError: Cast to ObjectId failed for value "7676" (type string) at path "_id" for model "Book"	DELETE	/books	http://localhost:3000
20221030	10:26:06	1b1e2666-451c-45ed-9d34-3389481cc7df	ValidationError: Book validation failed: book: Path `book` is required.	POST	/books	http://localhost:3000
20221030	10:32:32	1b25ca5e-ba61-44f6-818d-d7d89b6ab69f	TypeError: Cannot read properties of null (reading 'username')	GET	/books	http://localhost:3000
20221030	10:32:47	defd3c55-dd80-45c2-8829-30b5c6e50542	TypeError: Cannot read properties of null (reading 'username')	GET	/books	http://localhost:3000
20221030	10:33:03	b83eca12-c7a8-440d-af71-3422e563341b	TypeError: Cannot read properties of null (reading 'username')	GET	/books	http://localhost:3000
20221030	10:33:18	408455d6-d978-4688-a58c-e5977f6e006e	TypeError: Cannot read properties of null (reading 'username')	GET	/books	http://localhost:3000
20221030	10:33:33	c0777b2f-c0bf-4635-a3d3-479c5d96c8ac	TypeError: Cannot read properties of null (reading 'username')	GET	/books	http://localhost:3000
20221030	10:33:51	df3f0014-7a38-4ca4-8924-e5872e9fe7f2	TypeError: Cannot read properties of null (reading 'username')	GET	/books	http://localhost:3000
20221030	10:34:02	fd70d6de-94e3-486b-a6de-7ef1368a3d43	TypeError: Cannot read properties of null (reading 'username')	GET	/books	http://localhost:3000
20221030	10:34:17	834747a3-9415-494b-82ff-db0a6450d55f	TypeError: Cannot read properties of null (reading 'username')	GET	/books	http://localhost:3000
20221030	10:34:21	070214bb-53c6-4067-b63f-f42d4b84ee1b	TypeError: Cannot read properties of null (reading 'username')	GET	/books	http://localhost:3000
20221030	10:34:36	701ad7a8-f192-4949-a8eb-9646ce71ce1e	TypeError: Cannot read properties of null (reading 'username')	GET	/books	http://localhost:3000
20221030	10:34:51	7189b2a1-907a-4c0e-bb67-6d66172e1a3e	TypeError: Cannot read properties of null (reading 'username')	GET	/books	http://localhost:3000
20221030	10:35:01	dc519c7a-0dd1-4a78-9134-4e112f3413ac	TypeError: Cannot read properties of null (reading 'username')	GET	/books	http://localhost:3000
20221030	10:35:16	ef73d7b6-f988-4ae2-b4dc-3124b2de7565	TypeError: Cannot read properties of null (reading 'username')	GET	/books	http://localhost:3000
20221030	10:35:37	eba9c9fd-cec6-4605-86b8-162dbd1b60f3	TypeError: Cannot read properties of null (reading 'username')	GET	/books	http://localhost:3000
20221030	10:35:52	4d2c9668-8b23-4d6f-807a-a76cf6ac10f3	TypeError: Cannot read properties of null (reading 'username')	GET	/books	http://localhost:3000
20221030	10:35:57	6ecfcde7-cfea-425e-8a02-bd7faecdafd7	TypeError: Cannot read properties of null (reading 'username')	GET	/books	http://localhost:3000
20221030	10:36:12	6a4fc535-8371-495b-8b76-b95b1dcf676f	TypeError: Cannot read properties of null (reading 'username')	GET	/books	http://localhost:3000
20221030	10:36:27	90eeb5bd-36e9-497d-943e-eb116e83aff3	TypeError: Cannot read properties of null (reading 'username')	GET	/books	http://localhost:3000
20221030	10:36:42	4d353d34-2d7c-4b9e-9454-8e0ce9fd215c	TypeError: Cannot read properties of null (reading 'username')	GET	/books	http://localhost:3000
20221030	10:36:56	47161efc-5e57-47e1-aeb1-9594c7772c3a	TypeError: Cannot read properties of null (reading 'username')	GET	/books	http://localhost:3000
20221030	10:37:07	4e40c32b-b377-4def-8250-11afbb656806	TypeError: Cannot read properties of null (reading 'username')	GET	/books	http://localhost:3000
20221030	10:37:22	3ed71e0e-8bf5-4b59-8061-e9f070f2d5f6	TypeError: Cannot read properties of null (reading 'username')	GET	/books	http://localhost:3000
20221030	19:17:35	96a5cca3-8275-41ce-8634-924bb3e06d7a	TypeError: Cannot read properties of null (reading 'username')	GET	/books	http://localhost:3000
20221030	19:18:07	ebc1d015-6b95-4719-b3bd-60aa5269fb9b	TypeError: Cannot read properties of null (reading 'username')	GET	/books	http://localhost:3000
20221030	19:19:26	c39b7103-147b-4d75-9af1-9262bea982fc	TypeError: Cannot read properties of null (reading 'username')	GET	/books	http://localhost:3000
20221030	19:19:41	70766d1e-577b-4ee5-9657-e5043a2d0c47	TypeError: Cannot read properties of null (reading 'username')	GET	/books	http://localhost:3000
